S.No.,Project Name,Department,PI / Main Contact,Co-PI / Other Investigators,Funding Agency,From,To,Amount (Rs.),Status
16,Formulation of Low Cost and Effective Self-cleaning Cement,CH,Dr. JK Rattan,Dr. Deepak Sahu,MoE-STARS,Sep-23,Sep-26,3300000,Ongoing
17.,Color reduction of effluent from ETP of dyeing unit,"CH, BT",Dr. J.K Ratan,"Dr. Nitin Naresh Pandhare, Dr. Nikhil GN, Dr. Sumer Singh Meena, Dr. Deepak Sahu",Trident Group,Feb-23,Feb-25,626580,Ongoing
18.,"Development of smart magneto-rheological elastomers, gels, and fluids using metal oxide-carbon nanofibers and liquid metals",CH,Dr. GIRl BABU,-,SERB-EEQ,Jan-23,Jan-26,4182588,Ongoing
19,Characterizing the Delivery of FSP27 Peptide Using Nanocomposite Inclusion Complexes,CY,Dr. Rajeev Jindal,-,OHIO UNIVERSITY (Agreement),Jun-24,May-29,37500 (In Dollars),Ongoing
20.,Development of novel purine nucleoside-quinoline conjugates as effective inhibitors for chikungunya and dengue viruses,CY,Dr. Rakesh Kumar,"Dr. Shailly Tomar, IIT Roorkee",DST-SERB,May-24,May-27,4406000,Ongoing
21.,Smart Wettability Surfaces Instigating Spontaneous Autonomous Contact Line Motion for droplet based Sensing and self-cleaning surfaces,CY,Dr. Vickramjeet Singh,-,DST-SERB,Jan-24,Jan-27,3450972,Ongoing
22.,Development of Carbon quantum dots based bionanocomposites and smart phone assisted RGB technique for sensing of malemine and histamine is real food samples as well as photocatalytic removal,CY,Dr. Uma Shankar,,DST-SERB,Jan-24,Jan-27,4718956,Ongoing
23.,Fluorescence as Well as Smart Phone Assisted RGB Sensing of Histamine in Commercial Fishes using highly Conjugated Tetrapodal-Metal Fluorescent Probes-A Tool to Measure Food Freshness,CY,Dr Jaspreet Rajput,,MOE-STARS,Sep-23,Sep-26,3000000,Ongoing
24.,Teachers Associateship for Research Excellence (TARE),CY,Dr. Jaspreet Kaur Rajput (Mentor),"Dr. Rupesh Kumar, PTU Jalandhar",DST-SERB-TARE,Oct-22,Oct-25,1830000,Ongoing
25.,Study of general and functional requirements  concerning safety and performance of Arthroscopy,CSE,Dr. Nagendra Pratap Singh,"Dr. Nishi Singh, Dr. Balendra Pratap Singh, Dr. Ashish Raman, Mr. Mithlesh Kumar Singh Yadav",BIS,Feb-25,Aug-25,200000,Ongoing
